table_number,table_name,month,period,period_name,geography,Type,category,value,units
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1975,marketing year,US,Area,abandonment,7.2,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1976,marketing year,US,Area,abandonment,6.2,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1977,marketing year,US,Area,abandonment,3,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1978,marketing year,US,Area,abandonment,7.3,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1979,marketing year,US,Area,abandonment,8.2,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1980,marketing year,US,Area,abandonment,9.1,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1981,marketing year,US,Area,abandonment,3.4,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1982,marketing year,US,Area,abandonment,14.2,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1983,marketing year,US,Area,abandonment,7.3,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1984,marketing year,US,Area,abandonment,6.9,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1985,marketing year,US,Area,abandonment,4.3,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1986,marketing year,US,Area,abandonment,15.7,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1987,marketing year,US,Area,abandonment,3.5,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1988,marketing year,US,Area,abandonment,4.5,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1989,marketing year,US,Area,abandonment,9.9,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1990,marketing year,US,Area,abandonment,5,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1991,marketing year,US,Area,abandonment,7.8,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1992,marketing year,US,Area,abandonment,16,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1993,marketing year,US,Area,abandonment,4.9,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1994,marketing year,US,Area,abandonment,2.9,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1995,marketing year,US,Area,abandonment,5.4,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1996,marketing year,US,Area,abandonment,12,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1997,marketing year,US,Area,abandonment,3.5,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1998,marketing year,US,Area,abandonment,20.2,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,1999,marketing year,US,Area,abandonment,9.7,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2000,marketing year,US,Area,abandonment,15.9,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2001,marketing year,US,Area,abandonment,12.3,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2002,marketing year,US,Area,abandonment,11,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2003,marketing year,US,Area,abandonment,11,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2004,marketing year,US,Area,abandonment,4.4,Percent
1,"U.S. cotton supply and use, 1975/76–2025/26",annual,2005,marketing year,US,Area,abandonment,3.1,Percent
