Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2026-04-07,0,100,97,87,10,1
2026-03-31,0,100,98,84,20,3
2026-03-24,0,100,93,70,15,1
2026-03-17,0,100,91,58,8,0
2026-03-10,0,100,91,55,8,0
2026-03-03,0,100,91,55,8,0
2026-02-24,0,100,88,41,7,0
2026-02-17,0,100,74,41,6,0
2026-02-10,0,97,70,39,3,0
2026-02-03,0,97,68,39,3,0
2026-01-27,0,97,68,30,3,0
2026-01-20,0,97,69,28,4,0
2026-01-13,0,90,65,25,3,0
2026-01-06,0,91,62,24,2,0
2025-12-30,0,82,51,14,2,0
2025-12-23,0,77,45,14,2,0
2025-12-16,0,76,48,14,2,0
2025-12-09,0,76,48,14,2,0
2025-12-02,0,80,45,15,2,0
2025-11-25,0,86,44,17,2,0
2025-11-18,0,86,50,17,2,0
2025-11-11,0,81,35,13,1,0
2025-11-04,0,78,23,3,1,0
2025-10-28,0,66,19,2,0,0
2025-10-21,0,67,20,2,1,0
2025-10-14,0,58,12,1,0,0
2025-10-07,0,55,10,1,0,0
2025-09-30,0,47,9,1,0,0
2025-09-23,0,47,8,1,0,0
2025-09-16,0,50,8,1,0,0
2025-09-09,0,48,7,1,0,0
2025-09-02,0,36,3,1,0,0
2025-08-26,0,19,3,1,0,0
2025-08-19,0,18,3,1,0,0
2025-08-12,0,16,3,1,0,0
2025-08-05,0,14,3,1,0,0
2025-07-29,0,14,3,1,0,0
2025-07-22,0,8,3,1,0,0
2025-07-15,0,8,3,2,0,0
2025-07-08,0,9,3,3,2,0
2025-07-01,0,17,4,3,3,2
2025-06-24,0,17,4,3,3,2
2025-06-17,0,17,4,3,3,2
2025-06-10,0,19,16,4,3,2
2025-06-03,0,22,16,4,3,2
2025-05-27,0,39,17,4,3,3
2025-05-20,0,42,19,4,3,3
2025-05-13,0,42,19,4,3,3
2025-05-06,0,57,33,9,3,3
2025-04-29,0,66,41,20,3,3
2025-04-22,0,93,52,37,3,3
2025-04-15,0,95,54,35,3,3
2025-04-08,0,95,54,35,3,1
2025-04-01,0,95,69,35,3,1
2025-03-25,0,98,75,40,15,1
2025-03-18,0,98,62,32,3,1
2025-03-11,0,93,47,18,3,0
2025-03-04,0,91,50,8,3,0
2025-02-25,0,91,42,8,3,0
2025-02-18,0,90,24,8,3,0
2025-02-11,0,90,24,8,3,0
2025-02-04,0,89,21,8,2,0
2025-01-28,0,30,21,8,2,0
2025-01-21,0,32,21,4,2,0
2025-01-14,0,31,21,4,2,0
2025-01-07,0,32,24,8,1,0
2024-12-31,0,29,22,8,1,0
2024-12-24,0,29,24,12,1,0
2024-12-17,0,24,18,4,1,0
2024-12-10,0,24,18,4,1,0
2024-12-03,0,27,18,4,1,0
2024-11-26,0,28,17,3,1,0
2024-11-19,0,47,17,3,1,0
2024-11-12,0,76,42,3,1,0
2024-11-05,0,80,46,11,1,0
2024-10-29,0,89,64,38,7,0
2024-10-22,0,89,59,9,3,0
2024-10-15,0,88,51,8,3,0
2024-10-08,0,87,27,6,2,0
2024-10-01,0,74,27,5,2,0
2024-09-24,0,62,26,5,2,0
2024-09-17,0,69,30,8,2,0
2024-09-10,0,69,26,5,1,0
2024-09-03,0,75,32,5,1,0
2024-08-27,0,85,49,11,1,0
2024-08-20,0,72,39,4,0,0
2024-08-13,0,68,29,4,0,0
2024-08-06,0,51,9,1,0,0
2024-07-30,0,34,3,1,0,0
2024-07-23,0,35,3,1,0,0
2024-07-16,0,40,11,1,0,0
2024-07-09,0,38,11,1,0,0
2024-06-25,0,35,8,1,0,0
2024-06-18,0,44,18,1,0,0
2024-06-11,0,43,16,1,0,0
2024-06-04,0,41,9,2,0,0
2024-05-28,0,61,5,2,0,0
2024-05-21,0,48,5,2,0,0
2024-05-14,0,50,6,2,0,0
2024-05-07,0,43,5,2,0,0
2024-04-30,0,42,5,2,0,0
2024-04-23,0,43,8,2,0,0
2024-04-16,0,39,7,1,0,0
2024-04-09,0,33,6,1,0,0
2024-04-02,0,33,6,1,0,0
2024-03-26,0,30,4,1,0,0
2024-03-19,0,25,4,1,0,0
2024-03-12,0,26,4,1,0,0
2024-03-05,0,21,4,1,0,0
2024-02-27,0,21,4,1,0,0
2024-02-20,0,20,4,1,0,0
2024-02-13,0,20,4,1,0,0
2024-02-06,0,22,4,1,1,0
2024-01-30,0,22,4,1,1,0
2024-01-23,0,23,5,2,1,0
2024-01-16,0,31,5,2,1,0
